vial,line,food,consumed,alive
1,627,water,35.5,7
2,627,peroxide,1,1
3,320,water,16.5,10
4,320,water,12,10
5,320,peroxide,7,10
6,320,peroxide,1.5,10
7,239,water,30.5,9
8,239,peroxide,5,8
9,NA,water,3.5,
10,NA,peroxide,1.5,
11,NA,peroxide,4.5,
12,NA,peroxide,9.5,
13,NA,water,4.75,
14,NA,water,6.5,
15,239,peroxide,5,10
17,239,peroxide,1.5,9
18,239,water,9.5,8
19,320,water,9.75,10
20,627,peroxide,1,4
21,627,water,9,2
22,320,peroxide,3,10
23,239,water,12.5,11
24,239,peroxide,4.5,9
25,NA,water,2.5,
26,NA,peroxide,3,
28,320,water,30.5,10
29,627,peroxide,2.25,1
30,627,water,30,10
31,627,water,26.5,5
32,239,water,33.5,10
33,239,water,10,9
34,239,peroxide,4.5,8
35,NA,water,3,
37,NA,peroxide,1,
38,NA,peroxide,4.5,
39,239,peroxide,1,9
40,239,water,11.5,8
41,320,peroxide,4,10
42,320,water,15.25,10
43,320,water,12,10
44,320,water,30,7
45,627,peroxide,3,2
46,627,water,29,6
47,320,peroxide,5.75,10
48,239,water,14.5,7
49,239,peroxide,2.75,8
50,239,peroxide,2.5,10
51,NA,water,3,
52,NA,peroxide,2.25,
53,NA,peroxide,1.5,
55,239,water,13,10
56,320,peroxide,4.5,9
57,320,water,19,10
58,627,peroxide,16.5,0
59,627,water,33,5
60,320,peroxide,1,10
61,239,water,10.5,10
62,239,peroxide,5.5,10
63,NA,water,6,
64,NA,peroxide,2.5,
65,239,water,9.5,8
66,320,peroxide,3.5,10
67,320,peroxide,3,9
68,320,water,18,10
69,627,peroxide,1.5,3
70,627,peroxide,2,2
71,320,water,15,10
72,NA,water,3.5,
73,NA,peroxide,2,
74,NA,water,3.5,
75,627,peroxide,5.5,3
76,627,water,11,3
77,NA,water,4.5,
